Fold,Cosine Dist - Accuracy,Euclidean Dist - Accuracy,Cosine Dist - F1 Score,Euclidean Dist - F1 Score,Cosine Dist - ROC AUC Scores,Euclidean Dist - ROC AUC Scores
3,0.84,0.74,0.82,0.82,"{0: 0.8828616352201258, 1: 0.9611499611499611, 2: 0.9973031283710896, 3: 0.9829931972789115, 4: 0.9245833333333333, 5: 0.9573317307692307, 6: 0.978283621140764, 7: 0.9274456521739131, 8: 0.9906862745098038, 9: 0.8333333333333333}","{0: 0.5330188679245282, 1: 0.5, 2: 0.8759439050701187, 3: 0.5238095238095238, 4: 0.5833333333333334, 5: 0.6935096153846154, 6: 0.5952380952380952, 7: 0.5, 8: 0.5, 9: 0.5}"
1,0.82,0.68,0.8,0.8,"{0: 0.9972789115646259, 1: 0.9599125364431487, 2: 0.9962243797195254, 3: 0.9523809523809523, 4: 0.9864986498649865, 5: 0.9625850340136055, 6: 0.9945054945054945, 7: 0.960054347826087, 8: 0.9852941176470588, 9: 0.949685534591195}","{0: 0.9, 1: 0.5357142857142857, 2: 0.8052858683926646, 3: 0.6727891156462585, 4: 0.5, 5: 0.7850340136054423, 6: 0.5, 7: 0.5380434782608696, 8: 0.5, 9: 0.5}"
7,0.81,0.76,0.78,0.78,"{0: 0.956043956043956, 1: 0.9208394698085419, 2: 1.0, 3: 0.9904761904761905, 4: 0.9645454545454546, 5: 0.9876373626373626, 6: 0.9756613756613757, 7: 0.9373569794050343, 8: 1.0, 9: 0.8887362637362637}","{0: 0.8495879120879122, 1: 0.5360824742268041, 2: 0.9019607843137255, 3: 0.6095238095238095, 4: 0.5454545454545454, 5: 0.875, 6: 0.607936507936508, 7: 0.5163043478260869, 8: 0.5, 9: 0.5}"
8,0.81,0.68,0.79,0.79,"{0: 0.9471153846153846, 1: 0.9403534609720177, 2: 0.9923747276688453, 3: 0.9777777777777779, 4: 0.9436363636363637, 5: 0.9031593406593407, 6: 0.9592592592592593, 7: 0.9499427917620138, 8: 0.9643564356435643, 9: 0.8990384615384617}","{0: 0.7836538461538463, 1: 0.5, 2: 0.8562091503267973, 3: 0.6785714285714286, 4: 0.5909090909090909, 5: 0.6978021978021978, 6: 0.5476190476190477, 7: 0.5, 8: 0.5, 9: 0.5}"
2,0.79,0.79,0.73,0.73,"{0: 0.8333333333333333, 1: 0.934402332361516, 2: 0.9969951923076923, 3: 0.9530612244897959, 4: 0.9808333333333333, 5: 0.9693877551020409, 6: 0.9942438513867087, 7: 0.9532608695652174, 8: 0.9892156862745097, 9: 0.9772012578616351}","{0: 0.6190476190476191, 1: 0.6326530612244898, 2: 0.727764423076923, 3: 0.5408163265306122, 4: 0.5, 5: 0.7564625850340136, 6: 0.5, 7: 0.5619565217391305, 8: 0.5, 9: 0.5}"
4,0.78,0.7,0.73,0.73,"{0: 0.9984276729559748, 1: 0.9355089355089355, 2: 0.9309600862998921, 3: 0.9863945578231292, 4: 0.9316666666666664, 5: 0.9951923076923077, 6: 0.9816849816849816, 7: 0.96875, 8: 0.9921568627450981, 9: 0.9316037735849056}","{0: 0.7319182389937107, 1: 0.5353535353535354, 2: 0.8656957928802589, 3: 0.5632653061224488, 4: 0.5, 5: 0.7235576923076923, 6: 0.5476190476190477, 7: 0.5054347826086957, 8: 0.5, 9: 0.5}"
5,0.78,0.7,0.76,0.76,"{0: 0.9559748427672956, 1: 0.9867909867909869, 2: 0.9994606256742179, 3: 0.9857142857142858, 4: 0.9874999999999999, 5: 0.9513221153846154, 6: 0.9918890633176347, 7: 0.942391304347826, 8: 0.9926470588235294, 9: 0.9795597484276729}","{0: 0.5801886792452831, 1: 0.5353535353535354, 2: 0.8829557713052858, 3: 0.7, 4: 0.6666666666666666, 5: 0.6292067307692308, 6: 0.7700156985871272, 7: 0.5, 8: 0.5, 9: 0.5}"
9,0.77,0.73,0.75,0.75,"{0: 0.9876373626373627, 1: 0.9779086892488955, 2: 1.0, 3: 0.976984126984127, 4: 1.0, 5: 0.9505494505494505, 6: 0.9873015873015873, 7: 0.8898351648351648, 8: 0.8671023965141612, 9: 0.9532967032967032}","{0: 0.7451923076923077, 1: 0.5154639175257731, 2: 0.8572984749455338, 3: 0.6142857142857143, 4: 0.7272727272727273, 5: 0.698489010989011, 6: 0.6134920634920635, 7: 0.5164835164835164, 8: 0.5, 9: 0.5}"
6,0.73,0.67,0.72,0.72,"{0: 0.9857142857142858, 1: 0.9696969696969697, 2: 0.9983818770226537, 3: 1.0, 4: 0.9254166666666666, 5: 0.8954326923076923, 6: 0.967294610151753, 7: 0.9627717391304349, 8: 0.9102941176470587, 9: 0.8301886792452831}","{0: 0.8340136054421768, 1: 0.5, 2: 0.8656957928802589, 3: 0.7547169811320755, 4: 0.5, 5: 0.5588942307692307, 6: 0.7082679225536367, 7: 0.5, 8: 0.5, 9: 0.5}"
10,0.67,0.61,0.62,0.62,"{0: 0.9842032967032968, 1: 0.903902798232695, 2: 0.9945533769063181, 3: 0.8365079365079365, 4: 0.97, 5: 0.9835164835164836, 6: 0.9706349206349207, 7: 0.8914835164835164, 8: 0.9166666666666667, 9: 0.9876373626373627}","{0: 0.7369505494505495, 1: 0.5154639175257731, 2: 0.840958605664488, 3: 0.8333333333333334, 4: 0.5454545454545454, 5: 0.6991758241758242, 6: 0.7507936507936508, 7: 0.5164835164835164, 8: 0.5, 9: 0.5}"
